Report Number,Local Case Number,ACRS Report Type,Related Non-Motorist,Driver Substance Abuse,Non-Motorist Substance Abuse,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Speed Limit,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,Pedestrian Obeyed Traffic Signal,Pedestrian Visibility,Pedestrian At Fault
MCP28000052,220014387,Injury Crash,OTHER CONVEYANCE,NONE DETECTED,"N/A, NONE DETECTED",Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,0,OTHER CONVEYANCE,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,DRIVEWAY ACCESS MARKED CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP28000052,220014387,Injury Crash,OTHER CONVEYANCE,NONE DETECTED,"N/A, NONE DETECTED",Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,0,OTHER CONVEYANCE,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,DRIVEWAY ACCESS MARKED CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP32390021,220015651,Injury Crash,PEDESTRIAN,UNKNOWN,No Information,Yes,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Unknown,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,No Information,MIXED CLOTHING,No
EJ78890025,220014084,Injury Crash,PEDESTRIAN,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,NOT DISTRACTED,5,PEDESTRIAN,Standing,NO IMPROPER ACTIONS,OTHER,NO PED. SIGNAL,DARK CLOTHING,No
MCP2720006P,220015282,Injury Crash,PEDESTRIAN,UNKNOWN,UNKNOWN,Yes,NO APPARENT INJURY,No Information,UNKNOWN,30,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,UNKNOWN,No
MCP3038005R,220014558,Property Damage Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,BICYCLIST,Cross/Enter at Intersection,FAILURE TO YIELD RIGHT OF WAY,AT INTERSECTION BUT NO CROSSWALK,OTHER,MIXED CLOTHING,Yes
MCP32150032,220019544,Property Damage Crash,BICYCLIST,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,AT INTERSECTION MARKED CROSSWALK,OBEYED PED. SIGNAL,MIXED CLOTHING,No
MCP21820030,220019289,Property Damage Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,5,PEDESTRIAN,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,OTHER,No Information,LIGHT CLOTHING,No
EJ7873005Y,220019686,Injury Crash,PEDESTRIAN,NONE DETECTED,No Information,No,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,0,PEDESTRIAN,Other,DART DASH,OTHER,NO PED. SIGNAL,DARK CLOTHING,Yes
MCP30440058,220019942,Property Damage Crash,BICYCLIST,NONE DETECTED,No Information,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,BICYCLIST,Cross/Enter at Intersection,No Information,ON ROADWAY AT CROSSWALK,No Information,LIGHT CLOTHING,No
DD5649002C,220034478,Injury Crash,PEDESTRIAN,No Information,No Information,No,POSSIBLE INJURY,"N/A, SLEET, HAIL, FREEZ. RAIN",NOT DISTRACTED,25,PEDESTRIAN,Walking/Riding against Traffic,IN ROADWAY IMPROPERLY,ON ROADWAY NOT AT CROSSWALK,No Information,DARK CLOTHING,Yes
MCP2008009B,220033521,Injury Crash,OTHER CONVEYANCE,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,30,OTHER CONVEYANCE,Walking/Riding against Traffic,IN ROADWAY IMPROPERLY,SHOULDER,No Information,DARK CLOTHING,Yes
MCP3274001D,220033845,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,10,PEDESTRIAN,Other,OTHER,OTHER,No Information,MIXED CLOTHING,Yes
DD56430029,220034122,Injury Crash,BICYCLIST,UNKNOWN,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,UNKNOWN,35,BICYCLIST,Walking/Riding w/Traffic,NO IMPROPER ACTIONS,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
MCP2931005Z,220033947,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,0,PEDESTRIAN,Other,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,No Information,MIXED CLOTHING,No
MCP2864004F,220034204,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,25,PEDESTRIAN,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,No
DM8500000X,220027533,Injury Crash,PEDESTRIAN,No Information,No Information,Yes,NO APPARENT INJURY,No Information,UNKNOWN,5,PEDESTRIAN,Standing,UNKNOWN,OTHER,No Information,No Information,No
MCP9419003F,220021170,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,0,BICYCLIST,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,SIDEWALK,No Information,MIXED CLOTHING,No
MCP3228003G,220016026,Property Damage Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"BACKUP DUE TO REGULAR CONGESTION, N/A",LOOKED BUT DID NOT SEE,35,BICYCLIST,Walking/Cycling on Sidewalk,UNKNOWN,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP3228003G,220016026,Property Damage Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,"BACKUP DUE TO REGULAR CONGESTION, N/A",LOOKED BUT DID NOT SEE,35,BICYCLIST,Walking/Cycling on Sidewalk,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,LIGHT CLOTHING,No
MCP2861005C,220019720,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,No,NO APPARENT INJURY,No Information,NOT DISTRACTED,35,BICYCLIST,Cross/Enter not at Intersection,DART DASH,ON ROADWAY NOT AT CROSSWALK,NO PED. SIGNAL,LIGHT CLOTHING,Yes
EJ7893000S,220019632,Injury Crash,PEDESTRIAN,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,LOOKED BUT DID NOT SEE,5,PEDESTRIAN,Cross/Enter at Intersection,No Information,ON ROADWAY AT CROSSWALK,NO PED. SIGNAL,MIXED CLOTHING,No
DD55220056,220020909,Injury Crash,PEDESTRIAN,UNKNOWN,No Information,Unknown,NO APPARENT INJURY,No Information,UNKNOWN,25,PEDESTRIAN,Cross/Enter at Intersection,UNKNOWN,AT INTERSECTION MARKED CROSSWALK,NO PED. SIGNAL,UNKNOWN,Unknown
MCP3254001Y,220020677,Injury Crash,BICYCLIST,NONE DETECTED,NONE DETECTED,Yes,NO APPARENT INJURY,No Information,BY OTHER OCCUPANTS,35,BICYCLIST,Cross/Enter at Intersection,NO IMPROPER ACTIONS,ON ROADWAY AT CROSSWALK,OBEYED PED. SIGNAL,No Information,No
